<place><mixingbowl> (81-97)
<place><mcup1> (211-236)
<pour><mcup1,mixingbowl> (278-419)
<place><pitcher> (537-561)
<spoon><pitcher,mixingbowl> (699-959)
<mix><mixingbowl> (1109-1213)
<place><cakemixbox> (1391-1410)
<pour><cakemixbox,mixingbowl> (1452-1621)
<place><bluebowl> (1775-1806)
<pour><bluebowl,mixingbowl> (1858-1983)
<place><smallpatternbowl> (2122-2167)
<pickup><pitcher> (2177-2236)
<pour><smallpatternbowl,mixingbowl> (2256-2359)
<pickup><mixingbowl> (2373-2414)
<mix><mixingbowl> (2552-3354)
