<place><saladbowl> (82-103)
<place><oilbottle> (220-248)
<place><mcup1> (220-249)
<pour><oilbottle,mcup1> (317-488)
<pour><mcup1,saladbowl> (513-608)
<place><bluebowl> (731-758)
<pour><bluebowl,saladbowl> (798-906)
<place><smallpatternbowl> (1023-1048)
<pour><smallpatternbowl,saladbowl> (1086-1189)
<mix><saladbowl> (1315-1576)
<place><pitcher> (1748-1773)
<spoon><pitcher,saladbowl> (1806-2053)
<pickup><pitcher> (2208-2237)
<mix><saladbowl> (2253-2467)
<place><cakemixbox> (2643-2696)
<pour><cakemixbox,saladbowl> (2732-2910)
<mix><saladbowl> (3128-3910)
