<place><mixingbowl> (71-106)
<place><mcup1> (71-100)
<place><smallpatternbowl> (233-259)
<place><bluebowl> (375-393)
<pour><smallpatternbowl,mixingbowl> (420-514)
<pour><bluebowl,mixingbowl> (542-666)
<mix><mixingbowl> (818-974)
<place><oilbottle> (1143-1161)
<pour><oilbottle,mcup1> (1364-1565)
<pour><mcup1,mixingbowl> (1571-1763)
<place><pitcher> (1936-1958)
<spoon><pitcher,mixingbowl> (1980-2177)
<pickup><pitcher> (2189-2223)
<place><cakemixbox> (2361-2393)
<pour><cakemixbox,mixingbowl> (2464-2719)
<mix><mixingbowl> (2854-3473)
